월(Monthly),구분명,부문명,시도별,인허가실적
2017-01,총  계,총  계,전국,39898
,,,서울,5102
,,,인천,849
,,,경기,12766
,,,부산,3072
,,,대구,1716
,,,광주,2591
,,,대전,232
,,,울산,140
,,,세종,741
,,,강원,592
,,,충북,5796
,,,충남,532
,,,전북,1164
,,,전남,529
,,,경북,986
,,,경남,1736
,,,제주,1354
2017-02,총  계,총  계,전국,89480
,,,서울,14509
,,,인천,1680
,,,경기,26269
,,,부산,4690
,,,대구,2903
,,,광주,6066
,,,대전,698
,,,울산,605
,,,세종,771
,,,강원,3096
,,,충북,8115
,,,충남,3530
,,,전북,2979
,,,전남,1333
,,,경북,5184
,,,경남,4573
,,,제주,2479
2017-03,총  계,총  계,전국,141100
,,,서울,21666
,,,인천,2476
,,,경기,39636
,,,부산,8990
,,,대구,5197
,,,광주,8398
,,,대전,891
,,,울산,777
,,,세종,895
,,,강원,5797
,,,충북,14648
,,,충남,4791
,,,전북,3996
,,,전남,4328
,,,경북,6181
,,,경남,8571
,,,제주,3862
2017-04,총  계,총  계,전국,184668
,,,서울,29294
,,,인천,3562
,,,경기,52279
,,,부산,12055
,,,대구,7382
,,,광주,10279
,,,대전,1197
,,,울산,1826
,,,세종,962
,,,강원,7749
,,,충북,15386
,,,충남,8348
,,,전북,5581
,,,전남,4947
,,,경북,7845
,,,경남,10691
,,,제주,5285
2017-05,총  계,총  계,전국,238179
,,,서울,34408
,,,인천,6169
,,,경기,65455
,,,부산,19783
,,,대구,12009
,,,광주,12714
,,,대전,3409
,,,울산,2467
,,,세종,1285
,,,강원,9288
,,,충북,16119
,,,충남,9394
,,,전북,7055
,,,전남,6188
,,,경북,9209
,,,경남,15536
,,,제주,7691
2017-06,총  계,총  계,전국,297787
,,,서울,40425
,,,인천,10328
,,,경기,76129
,,,부산,24604
,,,대구,18335
,,,광주,15504
,,,대전,3624
,,,울산,5043
,,,세종,1503
,,,강원,14567
,,,충북,16715
,,,충남,12200
,,,전북,9163
,,,전남,7672
,,,경북,10156
,,,경남,21952
,,,제주,9867
2017-07,총  계,총  계,전국,347967
,,,서울,49124
,,,인천,11090
,,,경기,95095
,,,부산,29907
,,,대구,21261
,,,광주,15709
,,,대전,4243
,,,울산,5333
,,,세종,1569
,,,강원,16779
,,,충북,17405
,,,충남,14069
,,,전북,9809
,,,전남,9484
,,,경북,13157
,,,경남,23147
,,,제주,10786
2017-08,총  계,총  계,전국,396469
,,,서울,56497
,,,인천,12158
,,,경기,109032
,,,부산,35578
,,,대구,22525
,,,광주,18245
,,,대전,4565
,,,울산,5508
,,,세종,1903
,,,강원,19226
,,,충북,19411
,,,충남,15840
,,,전북,12281
,,,전남,10958
,,,경북,16470
,,,경남,24666
,,,제주,11606
2017-09,총  계,총  계,전국,454957
,,,서울,73459
,,,인천,13006
,,,경기,121541
,,,부산,40163
,,,대구,23120
,,,광주,18446
,,,대전,4862
,,,울산,6596
,,,세종,1963
,,,강원,23914
,,,충북,21746
,,,충남,19328
,,,전북,12722
,,,전남,12454
,,,경북,19488
,,,경남,29440
,,,제주,12709
2017-10,총  계,총  계,전국,502266
,,,서울,89283
,,,인천,15004
,,,경기,130894
,,,부산,42749
,,,대구,25742
,,,광주,18525
,,,대전,5961
,,,울산,7965
,,,세종,3755
,,,강원,25879
,,,충북,22370
,,,충남,20237
,,,전북,14549
,,,전남,15190
,,,경북,21088
,,,경남,30061
,,,제주,13014
2017-11,총  계,총  계,전국,552558
,,,서울,97080
,,,인천,16987
,,,경기,151195
,,,부산,45394
,,,대구,26660
,,,광주,18670
,,,대전,6046
,,,울산,9561
,,,세종,6178
,,,강원,27161
,,,충북,26761
,,,충남,21371
,,,전북,15225
,,,전남,17305
,,,경북,22305
,,,경남,31109
,,,제주,13550
